timestamp,jarak_mm,debit_lpm,ph_air,hujan_mm,asli_endapan_mm,asli_sumbatan,seed
2025-01-01 00:00:00+00:00,1192.3,112.1,7.26,0.0,5.1,0.0,42
2025-01-01 00:15:00+00:00,1191.5,102.8,7.62,0.0,5.1,0.0,42
2025-01-01 00:30:00+00:00,1191.5,101.5,7.34,0.0,5.2,0.0,42
2025-01-01 00:45:00+00:00,1194.7,110.5,7.1,0.0,5.2,0.0,42
2025-01-01 01:00:00+00:00,1189.0,108.8,7.38,0.0,5.3,0.0,42
2025-01-01 01:15:00+00:00,1189.0,115.6,7.47,0.0,5.3,0.0,42
2025-01-01 01:30:00+00:00,1188.1,105.3,7.36,0.0,5.4,0.0,42
2025-01-01 01:45:00+00:00,1184.3,105.8,7.12,0.0,5.4,0.0,42
2025-01-01 02:00:00+00:00,1188.4,105.3,7.25,0.0,5.5,0.0,42
2025-01-01 02:15:00+00:00,1184.8,102.6,7.42,0.0,5.5,0.0,42
2025-01-01 02:30:00+00:00,1195.3,101.5,7.29,0.0,5.6,0.0,42
2025-01-01 02:45:00+00:00,1185.1,101.0,7.5,0.0,5.6,0.0,42
2025-01-01 03:00:00+00:00,1186.7,113.5,7.25,0.0,5.6,0.0,42
2025-01-01 03:15:00+00:00,1185.2,106.4,7.29,0.0,5.7,0.0,42
2025-01-01 03:30:00+00:00,1191.8,111.8,7.01,0.0,5.8,0.0,42
2025-01-01 03:45:00+00:00,1191.9,111.8,7.34,0.0,5.8,0.0,42
2025-01-01 04:00:00+00:00,1187.9,112.9,7.4,0.0,5.8,0.0,42
2025-01-01 04:15:00+00:00,1190.7,107.2,7.28,0.0,5.8,0.0,42
2025-01-01 04:30:00+00:00,1192.4,103.3,7.24,0.0,5.9,0.0,42
2025-01-01 04:45:00+00:00,1184.8,109.0,7.58,0.0,6.0,0.0,42
2025-01-01 05:00:00+00:00,1185.7,101.2,7.05,0.0,6.0,0.0,42
2025-01-01 05:15:00+00:00,1184.5,111.9,7.19,0.0,6.0,0.0,42
2025-01-01 05:30:00+00:00,1190.6,108.3,7.39,0.0,6.1,0.0,42
2025-01-01 05:45:00+00:00,1191.8,100.5,7.25,0.0,6.1,0.0,42
2025-01-01 06:00:00+00:00,1187.2,113.9,7.4,0.0,6.2,0.0,42
2025-01-01 06:15:00+00:00,1189.3,103.7,7.14,0.0,6.3,0.0,42
2025-01-01 06:30:00+00:00,1188.7,101.9,7.22,0.0,6.3,0.0,42
2025-01-01 06:45:00+00:00,1192.2,113.4,7.2,0.0,6.4,0.0,42
2025-01-01 07:00:00+00:00,1186.7,104.4,7.22,0.0,6.4,0.0,42
2025-01-01 07:15:00+00:00,1193.2,101.9,7.06,0.0,6.5,0.0,42
2025-01-01 07:30:00+00:00,1184.0,113.3,7.44,0.0,6.5,0.0,42
2025-01-01 07:45:00+00:00,1191.8,101.1,7.37,0.0,6.6,0.0,42
2025-01-01 08:00:00+00:00,1191.9,112.6,7.15,0.0,6.6,0.0,42
2025-01-01 08:15:00+00:00,1185.2,115.1,7.32,0.0,6.7,0.0,42
2025-01-01 08:30:00+00:00,1190.8,105.3,7.47,0.0,6.7,0.0,42
2025-01-01 08:45:00+00:00,1189.3,105.9,7.41,0.0,6.8,0.0,42
2025-01-01 09:00:00+00:00,1188.0,114.5,7.09,0.0,6.8,0.0,42
2025-01-01 09:15:00+00:00,1182.8,107.4,7.19,0.0,6.9,0.0,42
2025-01-01 09:30:00+00:00,1189.5,106.2,7.22,0.0,6.9,0.0,42
2025-01-01 09:45:00+00:00,1184.2,103.7,7.27,0.0,7.0,0.0,42
2025-01-01 10:00:00+00:00,1187.9,114.5,7.35,0.0,7.0,0.0,42
2025-01-01 10:15:00+00:00,1181.8,106.4,7.21,0.0,7.0,0.0,42
2025-01-01 10:30:00+00:00,1188.1,110.7,7.25,0.0,7.1,0.0,42
2025-01-01 10:45:00+00:00,1187.8,107.9,7.29,0.0,7.1,0.0,42
2025-01-01 11:00:00+00:00,1188.0,113.7,7.38,0.0,7.2,0.0,42
2025-01-01 11:15:00+00:00,1183.9,112.2,7.31,0.0,7.2,0.0,42
2025-01-01 11:30:00+00:00,1190.7,113.4,7.16,0.0,7.3,0.0,42
2025-01-01 11:45:00+00:00,1181.7,102.0,7.37,0.0,7.4,0.0,42
2025-01-01 12:00:00+00:00,1187.2,109.6,6.95,0.0,7.4,0.0,42
2025-01-01 12:15:00+00:00,1185.1,112.5,7.33,0.0,7.5,0.0,42
2025-01-01 12:30:00+00:00,1184.5,100.8,7.1,0.0,7.5,0.0,42
2025-01-01 12:45:00+00:00,1191.3,110.5,7.09,0.0,7.6,0.0,42
2025-01-01 13:00:00+00:00,1189.6,108.3,7.26,0.0,7.6,0.0,42
2025-01-01 13:15:00+00:00,1183.4,101.9,7.31,0.0,7.6,0.0,42
2025-01-01 13:30:00+00:00,1184.2,101.7,7.6,0.0,7.7,0.0,42
2025-01-01 13:45:00+00:00,1189.9,107.0,7.22,0.0,7.7,0.0,42
2025-01-01 14:00:00+00:00,1184.1,101.1,7.39,0.0,7.8,0.0,42
2025-01-01 14:15:00+00:00,1179.7,114.6,7.32,0.0,7.9,0.0,42
2025-01-01 14:30:00+00:00,1181.0,108.5,7.23,0.0,7.9,0.0,42
2025-01-01 14:45:00+00:00,1179.3,101.4,7.38,0.0,8.0,0.0,42
2025-01-01 15:00:00+00:00,1189.5,115.0,7.43,0.0,8.0,0.0,42
2025-01-01 15:15:00+00:00,1184.2,115.2,7.09,0.0,8.1,0.0,42
2025-01-01 15:30:00+00:00,1187.5,108.7,7.31,0.0,8.1,0.0,42
2025-01-01 15:45:00+00:00,1183.9,107.7,7.26,0.0,8.2,0.0,42
2025-01-01 16:00:00+00:00,1191.8,101.8,7.32,0.0,8.2,0.0,42
2025-01-01 16:15:00+00:00,1189.9,109.7,7.33,0.0,8.2,0.0,42
2025-01-01 16:30:00+00:00,1185.6,103.7,7.35,0.0,8.3,0.0,42
