timestamp,jarak_mm,debit_lpm,ph_air,hujan_mm,asli_endapan_mm,asli_sumbatan,seed
2025-01-01 00:00:00+00:00,1182.4,110.0,7.14,0.0,5.1,0.0,2027
2025-01-01 00:15:00+00:00,1186.9,115.1,7.51,0.0,5.1,0.0,2027
2025-01-01 00:30:00+00:00,1183.8,114.5,7.2,0.0,5.2,0.0,2027
2025-01-01 00:45:00+00:00,1185.6,111.7,7.31,0.0,5.2,0.0,2027
2025-01-01 01:00:00+00:00,1188.0,113.0,7.34,0.0,5.3,0.0,2027
2025-01-01 01:15:00+00:00,1183.3,114.8,7.31,0.0,5.3,0.0,2027
2025-01-01 01:30:00+00:00,1194.5,110.2,7.32,0.0,5.4,0.0,2027
2025-01-01 01:45:00+00:00,1186.8,102.0,7.43,0.0,5.4,0.0,2027
2025-01-01 02:00:00+00:00,1191.0,103.5,7.36,0.0,5.5,0.0,2027
2025-01-01 02:15:00+00:00,1187.5,112.8,7.31,0.0,5.5,0.0,2027
2025-01-01 02:30:00+00:00,1188.3,105.9,7.43,0.0,5.6,0.0,2027
2025-01-01 02:45:00+00:00,1184.6,102.8,7.25,0.0,5.6,0.0,2027
2025-01-01 03:00:00+00:00,1191.5,115.5,7.31,0.0,5.7,0.0,2027
2025-01-01 03:15:00+00:00,1185.4,107.8,7.17,0.0,5.7,0.0,2027
2025-01-01 03:30:00+00:00,1183.5,113.7,7.17,0.0,5.8,0.0,2027
2025-01-01 03:45:00+00:00,1193.2,114.7,7.16,0.0,5.9,0.0,2027
2025-01-01 04:00:00+00:00,1192.3,114.6,7.17,0.0,5.9,0.0,2027
2025-01-01 04:15:00+00:00,1185.8,112.6,7.28,0.0,6.0,0.0,2027
2025-01-01 04:30:00+00:00,1187.2,105.3,7.3,0.0,6.0,0.0,2027
2025-01-01 04:45:00+00:00,1180.9,111.9,7.4,0.0,6.1,0.0,2027
2025-01-01 05:00:00+00:00,1189.8,111.4,7.37,0.0,6.2,0.0,2027
2025-01-01 05:15:00+00:00,1187.3,102.0,7.19,0.0,6.2,0.0,2027
2025-01-01 05:30:00+00:00,1190.2,100.9,7.14,0.0,6.3,0.0,2027
2025-01-01 05:45:00+00:00,1184.0,115.2,7.34,0.0,6.3,0.0,2027
2025-01-01 06:00:00+00:00,1186.8,109.1,7.5,0.0,6.4,0.0,2027
2025-01-01 06:15:00+00:00,1187.5,103.3,7.31,0.0,6.4,0.0,2027
2025-01-01 06:30:00+00:00,1190.3,103.6,7.23,0.0,6.5,0.0,2027
2025-01-01 06:45:00+00:00,1188.0,110.0,7.3,0.0,6.5,0.0,2027
2025-01-01 07:00:00+00:00,1190.2,105.2,7.46,0.0,6.5,0.0,2027
